vehicle_name,vehicle_type,track_type,average_speed,fuel_consumption,total_steering,total_throttle,total_brake,velocity,lap time,mass,drag_coefficient,center_of_mass_x,center_of_mass_z,max_rpm,clutch_strength,gear_switch_time,front_left_wheel_radius,front_left_wheel_max_brake_torque,front_left_wheel_lat_stiff_max_load,front_left_wheel_lat_stiff_value,front_left_wheel_long_stiff_value,rear_right_wheel_radius,rear_right_wheel_max_brake_torque,rear_right_wheel_max_handbrake_torque,rear_right_wheel_lat_stiff_max_load,rear_right_wheel_lat_stiff_value,rear_right_wheel_long_stiff_value
vehicle.lincoln.mkz_2020,Car,hard,17.08966494,0.028335395,304.403627,82.35492771,17.07564241,4.4317695,79.17240162,1696,0.300000012,0.299999982,-0.199999988,6500,10,0.100000001,35.5,800,3,20,3000,35.5,800,1600,3,20,3000
vehicle.volkswagen.t2_2021,Van,hard,17.91025222,0.004930994,302.2533985,127.2470608,32.91000192,5.107909103,45.45757695,1105,0.300000012,0.599999964,-0.699999988,4500,10,0.100000001,33.5,400,2,17,1000,33.5,400,800,2,17,1000
vehicle.vespa.zx125,Motorcycle,hard,17.0495938,0.026398005,292.5244293,79.85677924,9.682914325,1.839306782,82.68081485,200,0.300000012,0.201072931,-0.450094759,2000,10,0.5,21.5,1500,2,17,1000,21.5,1500,3000,2,17,1000
vehicle.kawasaki.ninja,Motorcycle,hard,18.07115406,0.016011409,434.2266084,85.19309434,-8.779278899,4.194342402,84.45223125,166,0.300000012,0.199999988,-0.399999976,10000,0.600000024,0.5,32,1500,2,17,1000,32,1500,3000,2,17,1000
vehicle.mini.cooper_s_2021,Car,hard,18.10647459,0.012540795,219.8472877,92.05427168,-4.245132008,4.742301388,46.00537932,1130,0.300000012,0.599999964,-0.5,6500,10,0.100000001,37.5,500,1,17,3000,37.5,500,1000,1,17,3000
vehicle.carlamotors.firetruck,Truck,hard,20.05093761,0.001717896,273.7129523,112.0305988,11.74420785,4.532886198,83.56549283,10000,0.5,0.799999952,-1.199999928,5000,20,0.100000001,57,3000,5,15,3000,57,3000,6000,5,15,3000
vehicle.harley-davidson.low_rider,Motorcycle,hard,18.18722251,0.017068206,199.3479946,141.6330179,17.904135,3.998629742,11.08533982,286,0.300000012,0.149999991,-0.25,5000,0.600000024,0.5,35,1500,2,17,1000,35.5,1500,3000,2,17,1000
vehicle.kawasaki.ninja,Motorcycle,hard,18.34753259,0.0093117,325.3600397,79.9332479,25.63480662,3.292908275,100.7431219,166,0.300000012,0.199999988,-0.399999976,10000,0.600000024,0.5,32,1500,2,17,1000,32,1500,3000,2,17,1000
vehicle.mercedes.sprinter,Van,hard,17.95542803,0.010916032,281.6538636,85.82680767,16.26219181,6.592523793,79.51395484,3000,0.5,0.599999964,-0.799999952,5000,10,0.100000001,35,1500,5,20,3000,35,1500,3000,5,20,3000
vehicle.ford.ambulance,Van,hard,17.41162068,0.013633013,356.8176237,141.9684389,29.06964957,4.476700321,67.31020386,1579,0.300000012,0.199999988,-0.899999976,6500,10,0.100000001,35,800,2,17,1000,35,800,1600,2,17,1000
vehicle.mini.cooper_s_2021,Car,hard,19.28179666,0.021900957,280.3625755,150.5206978,18.16349,5.390666879,83.77217928,1130,0.300000012,0.599999964,-0.5,6500,10,0.100000001,37.5,500,1,17,3000,37.5,500,1000,1,17,3000
vehicle.volkswagen.t2_2021,Van,hard,17.44990217,-0.006637865,296.3189363,144.8043922,13.6516851,6.321733836,109.056389,1105,0.300000012,0.599999964,-0.699999988,4500,10,0.100000001,33.5,400,2,17,1000,33.5,400,800,2,17,1000
vehicle.carlamotors.carlacola,Truck,hard,17.86225028,0.013386596,341.575369,99.03978509,-15.28411959,1.702013958,74.59607098,4600,0.300000012,1,-0.699999988,4500,10,0.100000001,46,2700,5,20,3000,46,2700,5400,5,20,3000
vehicle.mini.cooper_s_2021,Car,hard,17.87337421,0.007399569,169.8029617,169.3109104,-9.066714668,5.206110365,56.499167,1130,0.300000012,0.599999964,-0.5,6500,10,0.100000001,37.5,500,1,17,3000,37.5,500,1000,1,17,3000
vehicle.audi.tt,Car,hard,18.55766699,0.006027799,275.5166,111.1895725,10.95484825,4.917679661,79.61937182,1265,0.25,0.5,-0.25,4700,10,0.100000001,34,700,3,20,3000,34,700,1400,3,20,3000
vehicle.carlamotors.firetruck,Truck,hard,17.82820625,0.023139832,179.1695457,111.8333077,13.75836136,3.406754874,91.71782732,10000,0.5,0.799999952,-1.199999928,5000,20,0.100000001,57,3000,5,15,3000,57,3000,6000,5,15,3000
vehicle.kawasaki.ninja,Motorcycle,hard,17.7395509,0.012242099,283.2467206,79.96372141,17.19505184,4.840284513,66.79850492,166,0.300000012,0.199999988,-0.399999976,10000,0.600000024,0.5,32,1500,2,17,1000,32,1500,3000,2,17,1000
vehicle.carlamotors.carlacola,Truck,hard,18.65848703,-0.001365832,266.3354506,97.5346422,3.998533928,8.639251375,76.44303811,4600,0.300000012,1,-0.699999988,4500,10,0.100000001,46,2700,5,20,3000,46,2700,5400,5,20,3000
vehicle.harley-davidson.low_rider,Motorcycle,hard,17.55277106,0.008257125,386.5725466,111.4678745,-11.31888346,3.378077073,68.43505883,286,0.300000012,0.149999991,-0.25,5000,0.600000024,0.5,35,1500,2,17,1000,35.5,1500,3000,2,17,1000
vehicle.nissan.patrol_2021,Car,hard,18.45359392,0.021635975,300.7886372,168.7058969,9.49940419,2.55323169,90.07888705,2355,0.300000012,0.599999964,-0.5,6000,10,0.100000001,45,1500,5,20,4000,45,1500,3000,5,20,4000
vehicle.volkswagen.t2_2021,Van,hard,18.02502199,0.008571224,244.3045939,138.9196934,5.590302107,4.708066826,93.82550349,1105,0.300000012,0.599999964,-0.699999988,4500,10,0.100000001,33.5,400,2,17,1000,33.5,400,800,2,17,1000
vehicle.ford.ambulance,Van,hard,17.10096087,0.012486726,369.9908805,125.55486,10.17686492,5.316542533,78.84467492,1579,0.300000012,0.199999988,-0.899999976,6500,10,0.100000001,35,800,2,17,1000,35,800,1600,2,17,1000
vehicle.toyota.prius,Car,hard,18.57045474,0.017604422,188.3015137,77.19138942,29.97098621,3.722414905,65.7248922,1375,0.300000012,0.5,-0.299999982,5000,10,0,37,800,3,20,3000,37,800,1600,3,20,3000
vehicle.audi.tt,Car,hard,18.4107565,0.021264514,306.9820675,69.85460559,28.16238839,3.851784577,53.31360375,1265,0.25,0.5,-0.25,4700,10,0.100000001,34,700,3,20,3000,34,700,1400,3,20,3000
vehicle.nissan.patrol_2021,Car,hard,18.00601193,0.008604531,257.747823,71.45409539,6.305194122,4.826957415,25.95405097,2355,0.300000012,0.599999964,-0.5,6000,10,0.100000001,45,1500,5,20,4000,45,1500,3000,5,20,4000
vehicle.kawasaki.ninja,Motorcycle,hard,19.55729961,0.015368011,336.2993458,143.5293418,13.20857576,3.071967525,73.74478214,166,0.300000012,0.199999988,-0.399999976,10000,0.600000024,0.5,32,1500,2,17,1000,32,1500,3000,2,17,1000
vehicle.toyota.prius,Car,hard,18.38761216,0.022048707,471.2236054,87.58686223,-0.611662205,3.359054981,42.8599844,1375,0.300000012,0.5,-0.299999982,5000,10,0,37,800,3,20,3000,37,800,1600,3,20,3000
vehicle.yamaha.yzf,Motorcycle,hard,18.09352668,0.012645182,185.9327476,76.38715876,12.5259588,3.954248373,70.13178529,140,0.300000012,0.049999997,-0.399999976,9000,0.600000024,0.5,31,1500,2,17,1000,31,1500,3000,2,17,1000
vehicle.carlamotors.carlacola,Truck,hard,17.67656491,0.022409352,370.094627,88.0369879,22.74004042,6.536685768,74.63152508,4600,0.300000012,1,-0.699999988,4500,10,0.100000001,46,2700,5,20,3000,46,2700,5400,5,20,3000
vehicle.ford.mustang,Car,hard,18.57703161,0.01801123,375.7150585,97.97165091,14.01884735,3.527766128,61.03017564,1410,0.300000012,0.5,-0.299999982,4500,10,0.100000001,32,700,5,15,3000,32,700,1400,3,15,3000
vehicle.yamaha.yzf,Motorcycle,hard,18.0657072,0.021295529,191.0290727,112.2632613,14.60655793,3.837429475,77.19986536,140,0.300000012,0.049999997,-0.399999976,9000,0.600000024,0.5,31,1500,2,17,1000,31,1500,3000,2,17,1000
vehicle.harley-davidson.low_rider,Motorcycle,hard,17.65977354,0.005614499,234.6046019,44.83923697,8.569235128,6.265430351,45.22651243,286,0.300000012,0.149999991,-0.25,5000,0.600000024,0.5,35,1500,2,17,1000,35.5,1500,3000,2,17,1000
vehicle.audi.tt,Car,hard,18.00979897,0.023384976,303.7542308,71.98878156,16.68485359,4.581130251,72.38156827,1265,0.25,0.5,-0.25,4700,10,0.100000001,34,700,3,20,3000,34,700,1400,3,20,3000
vehicle.mercedes.sprinter,Van,hard,17.8826168,0.019362127,468.6450562,69.44076352,-1.797661642,4.631546722,86.88528228,3000,0.5,0.599999964,-0.799999952,5000,10,0.100000001,35,1500,5,20,3000,35,1500,3000,5,20,3000
